algorithm,graph,time,status,max_flow,iterations,vertices_visited,edges_visited,avg_vertices_per_iter,avg_edges_per_iter,avg_path_length,r_insert_mean,r_deletemin_mean
edmons-karp,mesh_100x100-300,0.9383189678192139,success,26851,10914,108040897,108029983,9899.29,9898.29,108.55,,
fattest-path,mesh_100x100-300,0.3133208751678467,success,26851,643,5350646,25401060,8321.38,39504.0,192.991,0.163223,0.479252
random-dfs,mesh_100x100-300,11.463634967803955,success,26851,26834,88316202,88289368,3291.21,3290.21,2858.84,,
edmons-karp,mesh_80x80-300,0.4205191135406494,success,21624,7322,46483347,46476025,6348.45,6347.45,84.6023,,
fattest-path,mesh_80x80-300,0.1472480297088623,success,21624,492,2513281,11515560,5108.29,23405.6,148.866,0.166891,0.486797
random-dfs,mesh_80x80-300,5.996778964996338,success,21624,21568,47005263,46983695,2179.4,2178.4,1899.48,,
edmons-karp,mesh_120x120-500,2.139101982116699,success,54471,17251,246076378,246059127,14264.5,14263.5,131.362,,
fattest-path,mesh_120x120-500,0.6299247741699219,success,54471,763,10575789,53277436,13860.8,69826.3,282.628,0.164997,0.474128
random-dfs,mesh_120x120-500,40.74659991264343,success,54471,54446,252967794,252913348,4646.21,4645.21,4028.42,,
edmons-karp,rlevel_60x60-300,0.2177259922027588,success,13174,3585,12090815,12087230,3372.61,3371.61,65.0257,,
fattest-path,rlevel_60x60-300,0.07108688354492188,success,13174,306,1030825,4929059,3368.71,16108.0,114.092,0.185551,0.539099
random-dfs,rlevel_60x60-300,3.1820859909057617,success,13174,13170,22423262,22410092,1702.6,1701.6,1527.54,,
edmons-karp,rlevel_80x80-400,0.8141381740570068,success,23196,6314,38273787,38267473,6061.73,6060.73,86.0019,,
fattest-path,rlevel_80x80-400,0.1462559700012207,success,23196,376,2219773,10146047,5903.65,26984.2,165.319,0.165516,0.501412
random-dfs,rlevel_80x80-400,9.952766180038452,success,23196,23152,69606560,69583408,3006.5,3005.5,2717.49,,
edmons-karp,rlevel_100x100-500,2.5003488063812256,success,36899,10429,98464451,98454022,9441.41,9440.41,112.611,,
fattest-path,rlevel_100x100-500,0.36283302307128906,success,36899,532,5387265,25029263,10126.4,47047.5,256.346,0.148038,0.472619
random-dfs,rlevel_100x100-500,121.73500490188599,success,36899,36875,175676517,175639642,4764.11,4763.11,4294.12,,
edmons-karp,square_60_deg6-300,0.5582847595214844,success,42743,12274,43818025,43805751,3569.99,3568.99,61.0104,,
fattest-path,square_60_deg6-300,0.18408918380737305,success,42743,673,2627486,24235109,3904.14,36010.6,118.563,0.160189,0.535531
random-dfs,square_60_deg6-300,14.63338589668274,success,42743,42635,69987937,69945302,1641.56,1640.56,1550.76,,
edmons-karp,square_80_deg8-400,2.5806047916412354,success,94048,27268,173791583,173764315,6373.46,6372.46,77.1875,,
fattest-path,square_80_deg8-400,0.4723989963531494,success,94048,687,5615939,68364556,8174.58,99511.7,184.004,0.152566,0.540559
random-dfs,square_80_deg8-400,66.49357318878174,success,94048,93950,268019781,267925831,2852.79,2851.79,2745.87,,
edmons-karp,square_100_deg10-500,8.32712984085083,success,149271,43962,438123595,438079633,9965.96,9964.96,95.3219,,
fattest-path,square_100_deg10-500,1.0291740894317627,success,149271,667,10335626,163014209,15495.7,244399.0,241.579,0.160913,0.537923
random-dfs,square_100_deg10-500,203.20015788078308,success,149271,149184,632488393,632339209,4239.65,4238.65,4120.84,,
